,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1754160227,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1754160232,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1754160237,5.0,0.0,5.0,,5.0,1.497493,0.109908,70.0,188.0,
3,1754160242,5.0,0.0,5.0,,5.0,1.497493,0.109908,70.0,188.0,0.01741105902716581
4,1754160247,5.0,0.0,5.0,0.0,5.0,1.497493,0.109908,70.0,188.0,0.021476745182481577
5,1754160252,5.0,0.0,5.0,0.0,5.0,1.497493,0.109908,70.0,188.0,0.02403601479573319
6,1754160257,5.0,0.0,5.0,0.0,5.0,1.497493,0.109908,70.0,188.0,0.025520250817094133
7,1754160262,5.0,0.0,5.0,0.0,5.0,1.497493,0.109908,70.0,188.0,0.029261598946641865
8,1754160267,5.0,0.0,5.0,0.0,5.0,0.546111,0.088298,70.0,288.0,0.03383048788722038
9,1754160272,5.0,0.0,5.0,0.0,5.0,0.546111,0.088298,70.0,288.0,0.03593940086992575
10,1754160277,5.0,0.0,5.0,0.0,5.0,0.546111,0.088298,70.0,288.0,0.04338433398707575
11,1754160282,5.0,0.0,5.0,0.0,5.0,0.546111,0.088298,70.0,288.0,0.044795489134760606
12,1754160287,5.0,0.0,5.0,0.0,5.0,0.546111,0.088298,70.0,288.0,0.04576503116296702
13,1754160292,5.0,0.0,5.0,0.0,5.0,0.546111,0.088298,70.0,288.0,0.04791755579681863
14,1754160297,5.0,0.0,5.0,0.0,5.0,0.077291,0.082066,70.0,288.0,0.0478771342007273
15,1754160302,5.0,0.0,5.0,0.0,5.0,0.077291,0.082066,70.0,288.0,0.05301811832658723
16,1754160307,5.0,0.0,5.0,0.0,5.0,0.077291,0.082066,70.0,288.0,0.05308562406470187
17,1754160312,5.0,0.0,5.0,0.0,5.0,0.077291,0.082066,70.0,288.0,0.05214838612475963
18,1754160317,5.0,0.0,5.0,0.0,5.0,0.077291,0.082066,70.0,288.0,0.053563636465042246
19,1754160322,5.0,0.0,5.0,0.0,5.0,0.077291,0.082066,70.0,288.0,0.053487198394462795
20,1754160327,5.0,0.0,5.0,0.0,5.0,0.093107,0.104019,70.0,288.0,0.051405606156978804
21,1754160332,5.0,0.0,5.0,0.0,5.0,0.093107,0.104019,70.0,288.0,0.05377278061630417
