,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1754167017,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,
1,1754167022,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,
2,1754167027,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.0014090187637441438
3,1754167032,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.009443517082344918
4,1754167037,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.011854253239363373
5,1754167042,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.016676787397689692
6,1754167047,5.0,0.0,5.0,0.0,5.0,2.999486,0.145774,70.0,288.0,0.02034560344046802
7,1754167052,5.0,0.0,5.0,0.0,5.0,2.999486,0.145774,70.0,288.0,0.02674135852981952
8,1754167057,5.0,0.0,5.0,0.0,5.0,2.999486,0.145774,70.0,288.0,0.03181422680708346
9,1754167062,5.0,0.0,5.0,0.0,5.0,2.999486,0.145774,70.0,288.0,0.03481952800766333
10,1754167067,5.0,0.0,5.0,0.0,5.0,2.999486,0.145774,70.0,288.0,0.04169045539406765
11,1754167072,5.0,0.0,5.0,0.0,5.0,2.999486,0.145774,70.0,288.0,0.046438913034243794
12,1754167077,5.0,0.0,5.0,0.0,5.0,1.174864,0.179166,70.0,288.0,0.05382340628492161
13,1754167082,5.0,0.0,5.0,0.0,5.0,1.174864,0.179166,70.0,288.0,0.05645101137899328
14,1754167087,5.0,0.0,5.0,0.0,5.0,1.174864,0.179166,70.0,288.0,0.056222579785836
15,1754167092,5.0,0.0,5.0,0.0,5.0,1.174864,0.179166,70.0,288.0,0.05458527902894321
16,1754167097,5.0,0.0,5.0,0.0,5.0,1.174864,0.179166,70.0,288.0,0.055738973012893184
17,1754167102,5.0,0.0,5.0,0.0,5.0,1.174864,0.179166,70.0,288.0,0.05539444084317094
18,1754167107,5.0,0.0,5.0,0.0,5.0,0.323857,0.221051,70.0,288.0,0.05545779303647789
19,1754167112,5.0,0.0,5.0,0.0,5.0,0.323857,0.221051,70.0,288.0,0.05327438402728517
