,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1754164482,1.0,0.0,1.0,,0.0,-1e-06,0.0,70.0,-111.0,0.0009602757084709684
1,1754164487,1.0,0.0,1.0,,0.0,-1e-06,0.0,70.0,-111.0,0.0011498926186346893
2,1754164492,1.0,0.0,1.0,,0.0,-1e-06,0.0,70.0,-111.0,0.005930058908395011
3,1754164497,5.0,0.0,5.0,,5.0,2.549061,12.551162,70.0,276.0,0.018441924093919378
4,1754164502,5.0,0.0,5.0,,5.0,2.549061,12.551162,70.0,276.0,0.024541930302878684
5,1754164507,5.0,0.0,5.0,0.0,5.0,2.549061,12.551162,70.0,276.0,0.035143685665802296
6,1754164512,5.0,0.0,5.0,0.0,5.0,2.549061,12.551162,70.0,276.0,0.04915463202398105
7,1754164517,5.0,0.0,5.0,0.0,5.0,2.549061,12.551162,70.0,276.0,0.05983076320326325
8,1754164522,5.0,0.0,5.0,0.0,5.0,2.549061,12.551162,70.0,276.0,0.06590437182869079
9,1754164527,5.0,0.0,5.0,0.0,5.0,15.252228,34.522351,70.0,254.0,0.0905753656641905
10,1754164532,5.0,0.0,5.0,0.0,5.0,15.252228,34.522351,70.0,254.0,0.11015444424839937
11,1754164537,5.0,0.0,5.0,0.0,5.0,15.252228,34.522351,70.0,254.0,0.12350591139841498
12,1754164542,5.0,0.0,5.0,0.0,5.0,15.252228,34.522351,70.0,254.0,0.1346657799577218
13,1754164547,5.0,0.0,5.0,0.0,5.0,15.252228,34.522351,70.0,254.0,0.15173543264477526
14,1754164552,5.0,0.0,5.0,0.0,5.0,15.252228,34.522351,70.0,254.0,0.15727913563531193
15,1754164557,5.0,0.0,5.0,0.0,5.0,24.743458,28.78348,70.0,260.0,0.16209077122792875
16,1754164562,5.0,0.0,5.0,0.0,5.0,24.743458,28.78348,70.0,260.0,0.16670804425645833
17,1754164567,5.0,0.0,5.0,0.0,5.0,24.743458,28.78348,70.0,260.0,0.160152390494906
18,1754164572,5.0,0.0,5.0,0.0,5.0,24.743458,28.78348,70.0,260.0,0.1601198275480022
19,1754164577,5.0,0.0,5.0,0.0,5.0,24.743458,28.78348,70.0,260.0,0.1567059021475821
20,1754164582,5.0,0.0,5.0,0.0,5.0,24.743458,28.78348,70.0,260.0,0.16424539388955406
21,1754164587,5.0,0.0,5.0,0.0,5.0,24.22757,32.583749,70.0,256.0,0.1490791041478787
22,1754164592,5.0,0.0,5.0,0.0,5.0,24.22757,32.583749,70.0,256.0,0.16025605264681286
23,1754164597,5.0,0.0,5.0,0.0,5.0,24.22757,32.583749,70.0,256.0,0.1563425640584101
24,1754164602,5.0,0.0,5.0,0.0,5.0,24.22757,32.583749,70.0,256.0,0.16085438015139022
25,1754164607,5.0,0.0,5.0,0.0,5.0,24.22757,32.583749,70.0,256.0,0.15848555223750815
26,1754164612,5.0,0.0,5.0,0.0,5.0,24.22757,32.583749,70.0,256.0,0.16946869171467072
27,1754164617,5.0,0.0,5.0,0.0,5.0,26.521261,36.937843,70.0,252.0,0.1727835634792714
28,1754164622,5.0,0.0,5.0,0.0,5.0,26.521261,36.937843,70.0,252.0,0.16825686813357538
29,1754164627,5.0,0.0,5.0,0.0,5.0,26.521261,36.937843,70.0,252.0,0.18431197193300516
30,1754164632,5.0,0.0,5.0,0.0,5.0,26.521261,36.937843,70.0,252.0,0.17988210217893152
31,1754164637,5.0,0.0,5.0,0.0,5.0,26.521261,36.937843,70.0,252.0,0.2016135810475142
32,1754164642,5.0,0.0,5.0,0.0,5.0,26.521261,36.937843,70.0,252.0,0.21092215808822265
33,1754164647,5.0,0.0,5.0,0.0,5.0,31.123385,29.978736,70.0,259.0,0.20410106807709077
34,1754164652,5.0,0.0,5.0,0.0,5.0,31.123385,29.978736,70.0,259.0,0.18945773769149676
35,1754164657,5.0,0.0,5.0,0.0,5.0,31.123385,29.978736,70.0,259.0,0.2019890838875306
36,1754164662,5.0,0.0,5.0,0.0,5.0,31.123385,29.978736,70.0,259.0,0.19852375039325937
37,1754164667,5.0,0.0,5.0,0.0,5.0,31.123385,29.978736,70.0,259.0,0.1839940176209451
38,1754164672,5.0,0.0,5.0,0.0,5.0,31.123385,29.978736,70.0,259.0,0.16660339934600832
39,1754164677,5.0,0.0,5.0,0.0,5.0,31.806572,71.698365,70.0,217.0,0.1556051575135372
40,1754164682,5.0,0.0,5.0,0.0,5.0,31.806572,71.698365,70.0,217.0,0.1644828785872519
41,1754164687,5.0,0.0,5.0,0.0,5.0,31.806572,71.698365,70.0,217.0,0.16660458106063625
42,1754164692,5.0,0.0,5.0,0.0,5.0,31.806572,71.698365,70.0,217.0,0.16848077026015076
43,1754164697,5.0,0.0,5.0,0.0,5.0,31.806572,71.698365,70.0,217.0,0.17702941503593225
44,1754164702,5.0,0.0,5.0,0.0,5.0,31.806572,71.698365,70.0,217.0,0.18958093680190094
45,1754164707,5.0,0.0,5.0,0.0,5.0,39.084324,26.883717,70.0,262.0,0.1917743731830212
46,1754164712,5.0,0.0,5.0,0.0,5.0,39.084324,26.883717,70.0,262.0,0.20350230058127378
47,1754164717,5.0,0.0,5.0,0.0,5.0,39.084324,26.883717,70.0,262.0,0.21565842435162016
48,1754164722,5.0,0.0,5.0,0.0,5.0,39.084324,26.883717,70.0,262.0,0.22010546305930376
49,1754164727,5.0,0.0,5.0,0.0,5.0,39.084324,26.883717,70.0,262.0,0.22722598478388104
50,1754164732,5.0,0.0,5.0,0.0,5.0,39.084324,26.883717,70.0,262.0,0.22946124287780167
51,1754164737,5.0,0.0,5.0,0.0,5.0,25.911018,4.466813,70.0,284.0,0.229633840777936
52,1754164742,5.0,0.0,5.0,0.0,5.0,25.911018,4.466813,70.0,284.0,0.23092855805575982
53,1754164747,5.0,0.0,5.0,0.0,5.0,25.911018,4.466813,70.0,284.0,0.23679310091920447
54,1754164752,5.0,0.0,5.0,0.0,5.0,25.911018,4.466813,70.0,284.0,0.23610697329638228
55,1754164757,5.0,0.0,5.0,0.0,5.0,25.911018,4.466813,70.0,284.0,0.23778569531593827
56,1754164762,5.0,0.0,5.0,0.0,5.0,25.911018,4.466813,70.0,284.0,0.233715402459142
57,1754164767,5.0,0.0,5.0,0.0,5.0,4.926047,4.581413,70.0,284.0,0.2422428863740117
58,1754164772,5.0,0.0,5.0,0.0,5.0,4.926047,4.581413,70.0,284.0,0.24235452534408145
59,1754164777,5.0,0.0,5.0,0.0,5.0,4.926047,4.581413,70.0,284.0,0.23570239630518985
60,1754164782,5.0,0.0,5.0,0.0,5.0,4.926047,4.581413,70.0,284.0,0.2418298049283814
61,1754164787,5.0,0.0,5.0,0.0,5.0,4.926047,4.581413,70.0,284.0,0.230729036122105
62,1754164792,5.0,0.0,5.0,0.0,5.0,4.926047,4.581413,70.0,284.0,0.2350491947366049
63,1754164797,5.0,0.0,5.0,0.0,5.0,24.123802,46.772142,70.0,242.0,0.23085953282733263
64,1754164802,5.0,0.0,5.0,0.0,5.0,24.123802,46.772142,70.0,242.0,0.2294080393469628
65,1754164807,5.0,0.0,5.0,0.0,5.0,24.123802,46.772142,70.0,242.0,0.211558348320505
66,1754164812,5.0,0.0,5.0,0.0,5.0,24.123802,46.772142,70.0,242.0,0.2258368918312798
67,1754164817,5.0,0.0,5.0,0.0,5.0,24.123802,46.772142,70.0,242.0,0.21822357978005957
68,1754164822,5.0,0.0,5.0,0.0,5.0,24.123802,46.772142,70.0,242.0,0.2231529837986467
69,1754164827,5.0,0.0,5.0,0.0,5.0,47.284877,9.0963,70.0,279.0,0.239366493020328
70,1754164832,5.0,0.0,5.0,0.0,5.0,47.284877,9.0963,70.0,279.0,0.23564119195990058
71,1754164837,5.0,0.0,5.0,0.0,5.0,47.284877,9.0963,70.0,279.0,0.23808096562966752
72,1754164842,5.0,0.0,5.0,0.0,5.0,47.284877,9.0963,70.0,279.0,0.25143244842391343
73,1754164847,5.0,0.0,5.0,0.0,5.0,47.284877,9.0963,70.0,279.0,0.2653596124693547
74,1754164852,5.0,0.0,5.0,0.0,5.0,47.284877,9.0963,70.0,279.0,0.2554977029848621
75,1754164857,5.0,0.0,5.0,0.0,5.0,28.036038,4.028299,70.0,284.0,0.25864475893183253
76,1754164862,5.0,0.0,5.0,0.0,5.0,28.036038,4.028299,70.0,284.0,0.27231218985436856
77,1754164867,5.0,0.0,5.0,0.0,5.0,28.036038,4.028299,70.0,284.0,0.2737914684707256
78,1754164872,5.0,0.0,5.0,0.0,5.0,28.036038,4.028299,70.0,284.0,0.2772780745031397
79,1754164877,5.0,0.0,5.0,0.0,5.0,28.036038,4.028299,70.0,284.0,0.28565847306115577
80,1754164882,5.0,0.0,5.0,0.0,5.0,28.036038,4.028299,70.0,284.0,0.2870828033611109
81,1754164887,5.0,0.0,5.0,0.0,5.0,9.879054,12.758807,70.0,276.0,0.29349244922548806
82,1754164892,5.0,0.0,5.0,0.0,5.0,9.879054,12.758807,70.0,276.0,0.291420031912009
83,1754164897,5.0,0.0,5.0,0.0,5.0,9.879054,12.758807,70.0,276.0,0.29060582312600924
84,1754164902,5.0,0.0,5.0,0.0,5.0,9.879054,12.758807,70.0,276.0,0.28746701088813953
85,1754164907,5.0,0.0,5.0,0.0,5.0,9.879054,12.758807,70.0,276.0,0.2964484646313819
86,1754164912,5.0,0.0,5.0,0.0,5.0,9.879054,12.758807,70.0,276.0,0.2943610930977409
87,1754164917,5.0,0.0,5.0,0.0,5.0,34.098398,48.893964,70.0,240.0,0.28117989372580776
88,1754164922,5.0,0.0,5.0,0.0,5.0,34.098398,48.893964,70.0,240.0,0.27714896468649375
89,1754164927,5.0,0.0,5.0,0.0,5.0,34.098398,48.893964,70.0,240.0,0.2724448412370271
90,1754164932,5.0,0.0,5.0,0.0,5.0,34.098398,48.893964,70.0,240.0,0.2692983174768584
91,1754164937,5.0,0.0,5.0,0.0,5.0,34.098398,48.893964,70.0,240.0,0.24362100304575543
92,1754164942,5.0,0.0,5.0,0.0,5.0,34.098398,48.893964,70.0,240.0,0.24961615560761619
93,1754164947,5.0,0.0,5.0,0.0,5.0,57.82314,55.052994,70.0,233.0,0.24632192206969822
94,1754164952,5.0,0.0,5.0,0.0,5.0,57.82314,55.052994,70.0,233.0,0.23785016824984437
95,1754164957,5.0,0.0,5.0,0.0,5.0,57.82314,55.052994,70.0,233.0,0.2445146878280562
96,1754164962,5.0,0.0,5.0,0.0,5.0,57.82314,55.052994,70.0,233.0,0.2480545021524018
97,1754164967,5.0,0.0,5.0,0.0,5.0,57.82314,55.052994,70.0,233.0,0.24217649497532873
98,1754164972,5.0,0.0,5.0,0.0,5.0,57.82314,55.052994,70.0,233.0,0.2603915327305407
99,1754164977,5.0,0.0,5.0,0.0,5.0,45.474816,9.962513,70.0,279.0,0.26169062273309096
100,1754164982,5.0,0.0,5.0,0.0,5.0,45.474816,9.962513,70.0,279.0,0.27312273052946023
101,1754164987,5.0,0.0,5.0,0.0,5.0,45.474816,9.962513,70.0,279.0,0.2697916126550779
102,1754164992,5.0,0.0,5.0,0.0,5.0,45.474816,9.962513,70.0,279.0,0.285668318721354
103,1754164997,5.0,0.0,5.0,0.0,5.0,45.474816,9.962513,70.0,279.0,0.298230124748951
104,1754165002,5.0,0.0,5.0,0.0,5.0,45.474816,9.962513,70.0,279.0,0.30225238836989193
105,1754165007,5.0,0.0,5.0,0.0,5.0,19.957158,11.795356,70.0,277.0,0.30829173922871456
106,1754165012,5.0,0.0,5.0,0.0,5.0,19.957158,11.795356,70.0,277.0,0.29250685282537997
107,1754165017,5.0,0.0,5.0,0.0,5.0,19.957158,11.795356,70.0,277.0,0.29925350090776054
108,1754165022,5.0,0.0,5.0,0.0,5.0,19.957158,11.795356,70.0,277.0,0.3007758322426934
109,1754165027,5.0,0.0,5.0,0.0,5.0,19.957158,11.795356,70.0,277.0,0.29842287032111325
110,1754165032,5.0,0.0,5.0,0.0,5.0,19.957158,11.795356,70.0,277.0,0.2876615383048274
111,1754165037,5.0,0.0,5.0,0.0,5.0,23.817624,12.543135,70.0,276.0,0.2929101080389295
112,1754165042,5.0,0.0,5.0,0.0,5.0,23.817624,12.543135,70.0,276.0,0.2876875940454323
113,1754165047,5.0,0.0,5.0,0.0,5.0,23.817624,12.543135,70.0,276.0,0.2780183163166212
114,1754165052,5.0,0.0,5.0,0.0,5.0,23.817624,12.543135,70.0,276.0,0.28907363765675487
115,1754165057,5.0,0.0,5.0,0.0,5.0,23.817624,12.543135,70.0,276.0,0.2934432580180831
116,1754165062,5.0,0.0,5.0,0.0,5.0,23.817624,12.543135,70.0,276.0,0.2963879862865493
117,1754165067,5.0,0.0,5.0,0.0,5.0,22.753397,11.57948,70.0,277.0,0.3026921379874583
118,1754165072,5.0,0.0,5.0,0.0,5.0,22.753397,11.57948,70.0,277.0,0.3094793431624809
119,1754165077,5.0,0.0,5.0,0.0,5.0,22.753397,11.57948,70.0,277.0,0.3094793431624808
120,1754165082,5.0,0.0,5.0,0.0,5.0,22.753397,11.57948,70.0,277.0,0.29425986973817564
