,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1754161980,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1754161985,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1754161990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.00403167342001238
3,1754161995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.015782884948110382
4,1754162000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.021287764566830163
5,1754162005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.027358264008389824
6,1754162010,5.0,0.0,5.0,0.0,5.0,1.87832,0.239093,70.0,288.0,0.03688991600329597
7,1754162015,5.0,0.0,5.0,0.0,5.0,1.87832,0.239093,70.0,288.0,0.03969441045755604
8,1754162020,5.0,0.0,5.0,0.0,5.0,1.87832,0.239093,70.0,288.0,0.056412384465136
9,1754162025,5.0,0.0,5.0,0.0,5.0,1.87832,0.239093,70.0,288.0,0.0670868391081408
10,1754162030,5.0,0.0,5.0,0.0,5.0,1.87832,0.239093,70.0,288.0,0.07866597133849115
11,1754162035,5.0,0.0,5.0,0.0,5.0,1.87832,0.239093,70.0,288.0,0.09344151983619273
12,1754162040,5.0,0.0,5.0,0.0,5.0,1.114378,0.365827,70.0,288.0,0.10113690092716894
13,1754162045,5.0,0.0,5.0,0.0,5.0,1.114378,0.365827,70.0,288.0,0.11722971778150834
14,1754162050,5.0,0.0,5.0,0.0,5.0,1.114378,0.365827,70.0,288.0,0.12198656876197377
15,1754162055,5.0,0.0,5.0,0.0,5.0,1.114378,0.365827,70.0,288.0,0.1267485666118465
16,1754162060,5.0,0.0,5.0,0.0,5.0,1.114378,0.365827,70.0,288.0,0.12243547304495675
17,1754162065,5.0,0.0,5.0,0.0,5.0,1.114378,0.365827,70.0,288.0,0.12897773680184893
18,1754162070,5.0,0.0,5.0,0.0,5.0,0.355473,0.358879,70.0,288.0,0.12484397516592356
19,1754162075,5.0,0.0,5.0,0.0,5.0,0.355473,0.358879,70.0,288.0,0.12812783055628377
20,1754162080,5.0,0.0,5.0,0.0,5.0,0.355473,0.358879,70.0,288.0,0.12318619848102916
