,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1754169489,0.0,0.0,0.0,5.477574711469229,0.0,-1e-06,0.0,70.0,-211.0,
1,1754169494,0.0,0.0,0.0,5.477574711469229,0.0,-1e-06,0.0,70.0,-211.0,
2,1754169499,0.0,0.0,0.0,5.477574711469229,0.0,-1e-06,0.0,70.0,-211.0,0.007226230219464281
3,1754169504,0.0,0.0,0.0,5.477574711469229,0.0,-1e-06,0.0,70.0,-211.0,0.018146625021466904
4,1754169509,5.0,0.0,5.0,5.477574711469229,5.0,2.686097,0.067967,70.0,288.0,0.026177697827992535
5,1754169514,5.0,0.0,5.0,5.477574711469229,5.0,2.686097,0.067967,70.0,288.0,0.029514519477964626
6,1754169519,5.0,0.0,5.0,0.0,5.0,2.686097,0.067967,70.0,288.0,0.03527272564958058
7,1754169524,5.0,0.0,5.0,0.0,5.0,2.686097,0.067967,70.0,288.0,0.0402620828146598
8,1754169529,5.0,0.0,5.0,0.0,5.0,2.686097,0.067967,70.0,288.0,0.04601194987837945
9,1754169534,5.0,0.0,5.0,0.0,5.0,2.686097,0.067967,70.0,288.0,0.05697908822343409
10,1754169539,5.0,0.0,5.0,0.0,5.0,1.220546,0.208247,70.0,288.0,0.0663419903008419
11,1754169544,5.0,0.0,5.0,0.0,5.0,1.220546,0.208247,70.0,288.0,0.06945595272924635
12,1754169549,5.0,0.0,5.0,0.0,5.0,1.220546,0.208247,70.0,288.0,0.07866164489111098
13,1754169554,5.0,0.0,5.0,0.0,5.0,1.220546,0.208247,70.0,288.0,0.08061824271712624
14,1754169559,5.0,0.0,5.0,0.0,5.0,1.220546,0.208247,70.0,288.0,0.08193532914042052
15,1754169564,5.0,0.0,5.0,0.0,5.0,1.220546,0.208247,70.0,288.0,0.08704813115252909
16,1754169569,5.0,0.0,5.0,0.0,5.0,0.139126,0.129056,70.0,288.0,0.08790047224855105
17,1754169574,5.0,0.0,5.0,0.0,5.0,0.139126,0.129056,70.0,288.0,0.08406821506135223
18,1754169579,5.0,0.0,5.0,0.0,5.0,0.139126,0.129056,70.0,288.0,0.08267206351259992
19,1754169584,5.0,0.0,5.0,0.0,5.0,0.139126,0.129056,70.0,288.0,0.08635663612810439
20,1754169589,5.0,0.0,5.0,0.0,5.0,0.139126,0.129056,70.0,288.0,0.07830180872505861
21,1754169594,5.0,0.0,5.0,0.0,5.0,0.139126,0.129056,70.0,288.0,0.08372519339573217
22,1754169599,5.0,0.0,5.0,0.0,5.0,0.134329,0.120659,70.0,288.0,0.0794235236432564
23,1754169604,5.0,0.0,5.0,0.0,5.0,0.134329,0.120659,70.0,288.0,0.0820358928458802
