,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1754169489,1.0,0.0,1.0,0.0,0.0,-1e-06,0.0,70.0,-111.0,0.9996057525552595
1,1754169494,1.0,0.0,1.0,0.0,0.0,-1e-06,0.0,70.0,-111.0,1.0007244272807476
2,1754169499,1.0,0.0,1.0,0.0,0.0,-1e-06,0.0,70.0,-111.0,1.0007244272807478
3,1754169504,1.0,0.0,1.0,0.0,0.0,-1e-06,0.0,70.0,-111.0,1.0001357663897643
4,1754169509,1.0,0.0,1.0,0.0,1.0,2.771997,12.506797,70.0,-124.0,1.0001357663897643
5,1754169514,1.0,0.0,1.0,0.0,1.0,2.771997,12.506797,70.0,-124.0,1.000181293636723
6,1754169519,1.0,0.0,1.0,35.50583319921171,1.0,2.771997,12.506797,70.0,-124.0,1.0009605764737683
7,1754169524,1.0,0.0,1.0,35.50583319921171,1.0,2.771997,12.506797,70.0,-124.0,1.0009605764737683
8,1754169529,1.0,0.0,1.0,35.50583319921171,1.0,2.771997,12.506797,70.0,-124.0,1.0005912658906395
9,1754169534,1.0,0.0,1.0,35.50583319921171,1.0,2.771997,12.506797,70.0,-124.0,0.9996708717613677
10,1754169539,1.0,0.0,1.0,35.50583319921171,1.0,20.642372,51.004849,70.0,-163.0,0.9996708717613677
11,1754169544,1.0,0.0,1.0,35.50583319921171,1.0,20.642372,51.004849,70.0,-163.0,0.7958407578727574
12,1754169549,1.0,0.0,1.0,43.56031520444899,1.0,20.642372,51.004849,70.0,-163.0,0.998680505667767
13,1754169554,1.0,0.0,1.0,43.56031520444899,1.0,20.642372,51.004849,70.0,-163.0,0.9986805056677667
14,1754169559,1.0,0.0,1.0,43.56031520444899,1.0,20.642372,51.004849,70.0,-163.0,0.9986805056677667
15,1754169564,1.0,0.0,1.0,43.56031520444899,1.0,20.642372,51.004849,70.0,-163.0,0.9987839497416173
16,1754169569,1.0,0.0,1.0,43.56031520444899,1.0,33.42644,33.034466,70.0,-145.0,0.9987839497416173
17,1754169574,1.0,0.0,1.0,43.56031520444899,1.0,33.42644,33.034466,70.0,-145.0,0.9986278657277524
18,1754169579,1.0,0.0,1.0,54.829588790727406,1.0,33.42644,33.034466,70.0,-145.0,0.9986278657277524
19,1754169584,1.0,0.0,1.0,54.829588790727406,1.0,33.42644,33.034466,70.0,-145.0,1.0000337547606237
