,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1754175243,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1754175248,0.0,0.0,0.0,10.579142272668019,0.0,0.0,0.0,70.0,-211.0,
2,1754175253,0.0,0.0,0.0,10.579142272668019,0.0,0.0,0.0,70.0,-211.0,
3,1754175258,0.0,0.0,0.0,10.579142272668019,0.0,0.0,0.0,70.0,-211.0,0.016890186519182736
4,1754175263,0.0,0.0,0.0,10.579142272668019,0.0,0.0,0.0,70.0,-211.0,0.02736624139345707
5,1754175268,5.0,0.0,5.0,10.579142272668019,5.0,1.806024,0.08967,70.0,288.0,0.0326804452031629
6,1754175273,5.0,0.0,5.0,10.579142272668019,5.0,1.806024,0.08967,70.0,288.0,0.031624069671478364
7,1754175278,5.0,0.0,5.0,0.0,5.0,1.806024,0.08967,70.0,288.0,0.03751851438728609
8,1754175283,5.0,0.0,5.0,0.0,5.0,1.806024,0.08967,70.0,288.0,0.03918910618297313
9,1754175288,5.0,0.0,5.0,0.0,5.0,1.806024,0.08967,70.0,288.0,0.04504922784048479
10,1754175293,5.0,0.0,5.0,0.0,5.0,1.806024,0.08967,70.0,288.0,0.047346315104094136
11,1754175298,5.0,0.0,5.0,0.0,5.0,0.8371,0.063338,70.0,288.0,0.050437494086119194
12,1754175303,5.0,0.0,5.0,0.0,5.0,0.8371,0.063338,70.0,288.0,0.05296326672217534
13,1754175308,5.0,0.0,5.0,0.0,5.0,0.8371,0.063338,70.0,288.0,0.04429110240623377
14,1754175313,5.0,0.0,5.0,0.0,5.0,0.8371,0.063338,70.0,288.0,0.04415222610015726
15,1754175318,5.0,0.0,5.0,0.0,5.0,0.8371,0.063338,70.0,288.0,0.04301949426867344
16,1754175323,5.0,0.0,5.0,0.0,5.0,0.8371,0.063338,70.0,288.0,0.0434154567598217
17,1754175328,5.0,0.0,5.0,0.0,5.0,0.069059,0.082543,70.0,288.0,0.04187064874896866
18,1754175333,5.0,0.0,5.0,0.0,5.0,0.069059,0.082543,70.0,288.0,0.04500565631872719
19,1754175338,5.0,0.0,5.0,0.0,5.0,0.069059,0.082543,70.0,288.0,0.046040993830026994
20,1754175343,5.0,0.0,5.0,0.0,5.0,0.069059,0.082543,70.0,288.0,0.049633731770123146
21,1754175348,5.0,0.0,5.0,0.0,5.0,0.069059,0.082543,70.0,288.0,0.05230707933458059
22,1754175353,5.0,0.0,5.0,0.0,5.0,0.069059,0.082543,70.0,288.0,0.05396889438909876
23,1754175358,5.0,0.0,5.0,0.0,5.0,0.089943,0.100684,70.0,288.0,0.05634687511422079
24,1754175363,5.0,0.0,5.0,0.0,5.0,0.089943,0.100684,70.0,288.0,0.05575279362996525
25,1754175368,5.0,0.0,5.0,0.0,5.0,0.089943,0.100684,70.0,288.0,0.056814903920520604
26,1754175373,5.0,0.0,5.0,0.0,5.0,0.089943,0.100684,70.0,288.0,0.060913417043876095
27,1754175378,5.0,0.0,5.0,0.0,5.0,0.089943,0.100684,70.0,288.0,0.06181813927044125
28,1754175383,5.0,0.0,5.0,0.0,5.0,0.089943,0.100684,70.0,288.0,0.06170625321810776
29,1754175388,5.0,0.0,5.0,0.0,5.0,0.108403,0.118087,70.0,288.0,0.06083174176635882
30,1754175393,5.0,0.0,5.0,0.0,5.0,0.108403,0.118087,70.0,288.0,0.06294676196088284
31,1754175398,5.0,0.0,5.0,0.0,5.0,0.108403,0.118087,70.0,288.0,0.06577596377717945
32,1754175403,5.0,0.0,5.0,0.0,5.0,0.108403,0.118087,70.0,288.0,0.0643762664064772
33,1754175408,5.0,0.0,5.0,0.0,5.0,0.108403,0.118087,70.0,288.0,0.06523792573390753
34,1754175413,5.0,0.0,5.0,0.0,5.0,0.108403,0.118087,70.0,288.0,0.06770300706079645
35,1754175418,5.0,0.0,5.0,0.0,5.0,0.115073,0.10892,70.0,288.0,0.0675991126736044
36,1754175423,5.0,0.0,5.0,0.0,5.0,0.115073,0.10892,70.0,288.0,0.06644579518579781
37,1754175428,5.0,0.0,5.0,0.0,5.0,0.115073,0.10892,70.0,288.0,0.0672610575419375
38,1754175433,5.0,0.0,5.0,0.0,5.0,0.115073,0.10892,70.0,288.0,0.06512480141956505
39,1754175438,5.0,0.0,5.0,0.0,5.0,0.115073,0.10892,70.0,288.0,0.06693035717039326
40,1754175443,5.0,0.0,5.0,0.0,5.0,0.115073,0.10892,70.0,288.0,0.06500724521234554
41,1754175448,5.0,0.0,5.0,0.0,5.0,0.109079,0.100681,70.0,288.0,0.06400101800472545
42,1754175453,5.0,0.0,5.0,0.0,5.0,0.109079,0.100681,70.0,288.0,0.0632438685652664
43,1754175458,5.0,0.0,5.0,0.0,5.0,0.109079,0.100681,70.0,288.0,0.05828836390760194
44,1754175463,5.0,0.0,5.0,0.0,5.0,0.109079,0.100681,70.0,288.0,0.06309268551808353
45,1754175468,5.0,0.0,5.0,0.0,5.0,0.109079,0.100681,70.0,288.0,0.06219927401998414
46,1754175473,5.0,0.0,5.0,0.0,5.0,0.109079,0.100681,70.0,288.0,0.062038102009028435
47,1754175478,5.0,0.0,5.0,0.0,5.0,0.101113,0.102131,70.0,288.0,0.06175913327263011
48,1754175483,5.0,0.0,5.0,0.0,5.0,0.101113,0.102131,70.0,288.0,0.06169366911841877
49,1754175488,5.0,0.0,5.0,0.0,5.0,0.101113,0.102131,70.0,288.0,0.059524479635654444
50,1754175493,5.0,0.0,5.0,0.0,5.0,0.101113,0.102131,70.0,288.0,0.06130608673226011
51,1754175498,5.0,0.0,5.0,0.0,5.0,0.101113,0.102131,70.0,288.0,0.05899140232789342
52,1754175503,5.0,0.0,5.0,0.0,5.0,0.101113,0.102131,70.0,288.0,0.05237283481284559
53,1754175508,5.0,0.0,5.0,0.0,5.0,0.103286,0.098146,70.0,288.0,0.05609428154865532
54,1754175513,5.0,0.0,5.0,0.0,5.0,0.103286,0.098146,70.0,288.0,0.05354155168224723
55,1754175518,5.0,0.0,5.0,0.0,5.0,0.103286,0.098146,70.0,288.0,0.05411314783293945
56,1754175523,5.0,0.0,5.0,0.0,5.0,0.103286,0.098146,70.0,288.0,0.056067654309270416
57,1754175528,5.0,0.0,5.0,0.0,5.0,0.103286,0.098146,70.0,288.0,0.05415423455095056
58,1754175533,5.0,0.0,5.0,0.0,5.0,0.103286,0.098146,70.0,288.0,0.0557268753059577
59,1754175538,5.0,0.0,5.0,0.0,5.0,0.099824,0.09053,70.0,288.0,0.05462255960559877
60,1754175543,5.0,0.0,5.0,0.0,5.0,0.099824,0.09053,70.0,288.0,0.0525849824934528
61,1754175548,5.0,0.0,5.0,0.0,5.0,0.099824,0.09053,70.0,288.0,0.05161765452329599
62,1754175553,5.0,0.0,5.0,0.0,5.0,0.099824,0.09053,70.0,288.0,0.04971516641643545
63,1754175558,5.0,0.0,5.0,0.0,5.0,0.099824,0.09053,70.0,288.0,0.05113276099301985
64,1754175563,5.0,0.0,5.0,0.0,5.0,0.099824,0.09053,70.0,288.0,0.049270439159166055
65,1754175568,5.0,0.0,5.0,0.0,5.0,0.08972,0.087075,70.0,288.0,0.04959992450300138
66,1754175573,5.0,0.0,5.0,0.0,5.0,0.08972,0.087075,70.0,288.0,0.047008036670533986
67,1754175578,5.0,0.0,5.0,0.0,5.0,0.08972,0.087075,70.0,288.0,0.04458890850749634
68,1754175583,5.0,0.0,5.0,0.0,5.0,0.08972,0.087075,70.0,288.0,0.046708703680016055
69,1754175588,5.0,0.0,5.0,0.0,5.0,0.08972,0.087075,70.0,288.0,0.04924323167537913
70,1754175593,5.0,0.0,5.0,0.0,5.0,0.08972,0.087075,70.0,288.0,0.049114881101542066
71,1754175598,5.0,0.0,5.0,0.0,5.0,0.085707,0.09916,70.0,288.0,0.04833853137891228
72,1754175603,5.0,0.0,5.0,0.0,5.0,0.085707,0.09916,70.0,288.0,0.0496335329570886
73,1754175608,5.0,0.0,5.0,0.0,5.0,0.085707,0.09916,70.0,288.0,0.048446937547150994
74,1754175613,5.0,0.0,5.0,0.0,5.0,0.085707,0.09916,70.0,288.0,0.04736559746331015
75,1754175618,5.0,0.0,5.0,0.0,5.0,0.085707,0.09916,70.0,288.0,0.0481858377494087
76,1754175623,5.0,0.0,5.0,0.0,5.0,0.085707,0.09916,70.0,288.0,0.049193954276084736
77,1754175628,5.0,0.0,5.0,0.0,5.0,0.08844,0.086457,70.0,288.0,0.046324936435340094
78,1754175633,5.0,0.0,5.0,0.0,5.0,0.08844,0.086457,70.0,288.0,0.049171662521617365
79,1754175638,5.0,0.0,5.0,0.0,5.0,0.08844,0.086457,70.0,288.0,0.049377008221504766
80,1754175643,5.0,0.0,5.0,0.0,5.0,0.08844,0.086457,70.0,288.0,0.048975927533637394
81,1754175648,5.0,0.0,5.0,0.0,5.0,0.08844,0.086457,70.0,288.0,0.04948937002399932
82,1754175653,5.0,0.0,5.0,0.0,5.0,0.08844,0.086457,70.0,288.0,0.049610564605707945
83,1754175658,5.0,0.0,5.0,0.0,5.0,0.092457,0.115285,70.0,288.0,0.049509866792256864
84,1754175663,5.0,0.0,5.0,0.0,5.0,0.092457,0.115285,70.0,288.0,0.052587867478087885
85,1754175668,5.0,0.0,5.0,0.0,5.0,0.092457,0.115285,70.0,288.0,0.05456135555723067
86,1754175673,5.0,0.0,5.0,0.0,5.0,0.092457,0.115285,70.0,288.0,0.05449491729457595
87,1754175678,5.0,0.0,5.0,0.0,5.0,0.092457,0.115285,70.0,288.0,0.057798367491544086
88,1754175683,5.0,0.0,5.0,0.0,5.0,0.092457,0.115285,70.0,288.0,0.05769976323672695
89,1754175688,5.0,0.0,5.0,0.0,5.0,0.109507,0.143284,70.0,288.0,0.06102903695286382
90,1754175693,5.0,0.0,5.0,0.0,5.0,0.109507,0.143284,70.0,288.0,0.06190091322426049
91,1754175698,5.0,0.0,5.0,0.0,5.0,0.109507,0.143284,70.0,288.0,0.06653098948187773
92,1754175703,5.0,0.0,5.0,0.0,5.0,0.109507,0.143284,70.0,288.0,0.0672626606723778
93,1754175708,5.0,0.0,5.0,0.0,5.0,0.109507,0.143284,70.0,288.0,0.06632197401257361
94,1754175713,5.0,0.0,5.0,0.0,5.0,0.109507,0.143284,70.0,288.0,0.07098957134434306
95,1754175718,5.0,0.0,5.0,0.0,5.0,0.143431,0.188398,70.0,288.0,0.06925668886758463
96,1754175723,5.0,0.0,5.0,0.0,5.0,0.143431,0.188398,70.0,288.0,0.07291145862672724
97,1754175728,5.0,0.0,5.0,0.0,5.0,0.143431,0.188398,70.0,288.0,0.07276154874326754
98,1754175733,5.0,0.0,5.0,0.0,5.0,0.143431,0.188398,70.0,288.0,0.07539104024920208
99,1754175738,5.0,0.0,5.0,0.0,5.0,0.143431,0.188398,70.0,288.0,0.07384515543852055
100,1754175743,5.0,0.0,5.0,0.0,5.0,0.143431,0.188398,70.0,288.0,0.07898152110439449
101,1754175748,5.0,0.0,5.0,0.0,5.0,0.184497,0.277832,70.0,288.0,0.08085080093774702
102,1754175753,5.0,0.0,5.0,0.0,5.0,0.184497,0.277832,70.0,288.0,0.07936658819261212
103,1754175758,5.0,0.0,5.0,0.0,5.0,0.184497,0.277832,70.0,288.0,0.08297221688758107
104,1754175763,5.0,0.0,5.0,0.0,5.0,0.184497,0.277832,70.0,288.0,0.08378449940105084
105,1754175768,5.0,0.0,5.0,0.0,5.0,0.184497,0.277832,70.0,288.0,0.08795258537438064
106,1754175773,5.0,0.0,5.0,0.0,5.0,0.184497,0.277832,70.0,288.0,0.08565552852910854
107,1754175778,5.0,0.0,5.0,0.0,5.0,0.219939,0.200921,70.0,288.0,0.09016215381987804
108,1754175783,5.0,0.0,5.0,0.0,5.0,0.219939,0.200921,70.0,288.0,0.08894862704023102
109,1754175788,5.0,0.0,5.0,0.0,5.0,0.219939,0.200921,70.0,288.0,0.08963101961947889
110,1754175793,5.0,0.0,5.0,0.0,5.0,0.219939,0.200921,70.0,288.0,0.09128391852890191
111,1754175798,5.0,0.0,5.0,0.0,5.0,0.219939,0.200921,70.0,288.0,0.09091888054318949
112,1754175803,5.0,0.0,5.0,0.0,5.0,0.219939,0.200921,70.0,288.0,0.09033271780716823
113,1754175808,5.0,0.0,5.0,0.0,5.0,0.259727,0.392789,70.0,288.0,0.0905509476770368
114,1754175813,5.0,0.0,5.0,0.0,5.0,0.259727,0.392789,70.0,288.0,0.09157668184691264
115,1754175818,5.0,0.0,5.0,0.0,5.0,0.259727,0.392789,70.0,288.0,0.08679520059249343
116,1754175823,5.0,0.0,5.0,0.0,5.0,0.259727,0.392789,70.0,288.0,0.09300337948161741
117,1754175828,5.0,0.0,5.0,0.0,5.0,0.259727,0.392789,70.0,288.0,0.09030943241413714
118,1754175833,5.0,0.0,5.0,0.0,5.0,0.259727,0.392789,70.0,288.0,0.09222817642854778
119,1754175838,5.0,0.0,5.0,0.0,5.0,0.275749,0.251318,70.0,288.0,0.08777527589720069
120,1754175843,5.0,0.0,5.0,0.0,5.0,0.275749,0.251318,70.0,288.0,0.07987280641262935
