,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1754174301,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
1,1754174306,5.0,0.0,4.0,,5.0,20.608134,20.608134,70.0,168.0,
2,1754174311,5.0,0.0,4.0,,5.0,20.608134,20.608134,70.0,168.0,
3,1754174316,5.0,0.0,4.0,0.0,5.0,20.608134,20.608134,70.0,168.0,0.0033406379852923664
4,1754174321,5.0,0.0,4.0,0.0,5.0,20.608134,20.608134,70.0,168.0,0.023831848741028203
5,1754174326,5.0,0.0,4.0,0.0,5.0,20.608134,20.608134,70.0,168.0,0.03171534585835136
6,1754174331,5.0,0.0,4.0,0.0,5.0,20.608134,20.608134,70.0,168.0,0.040097985512481074
7,1754174336,5.0,0.0,5.0,0.0,5.0,2.860084,0.270421,70.0,288.0,0.052338560336727104
8,1754174341,5.0,0.0,5.0,0.0,5.0,2.860084,0.270421,70.0,288.0,0.061365220559544964
9,1754174346,5.0,0.0,5.0,0.0,5.0,2.860084,0.270421,70.0,288.0,0.07541877133811631
10,1754174351,5.0,0.0,5.0,0.0,5.0,2.860084,0.270421,70.0,288.0,0.0813057271371964
11,1754174356,5.0,0.0,5.0,0.0,5.0,2.860084,0.270421,70.0,288.0,0.09385924297293016
12,1754174361,5.0,0.0,5.0,0.0,5.0,2.860084,0.270421,70.0,288.0,0.10292602708973894
13,1754174366,5.0,0.0,5.0,0.0,5.0,0.24895,0.227319,70.0,288.0,0.11369488959059368
14,1754174371,5.0,0.0,5.0,0.0,5.0,0.24895,0.227319,70.0,288.0,0.1129999569278902
15,1754174376,5.0,0.0,5.0,0.0,5.0,0.24895,0.227319,70.0,288.0,0.11632427358396139
16,1754174381,5.0,0.0,5.0,0.0,5.0,0.24895,0.227319,70.0,288.0,0.11594716699492152
17,1754174386,5.0,0.0,5.0,0.0,5.0,0.24895,0.227319,70.0,288.0,0.11581054528422421
18,1754174391,5.0,0.0,5.0,0.0,5.0,0.24895,0.227319,70.0,288.0,0.11699520641630631
19,1754174396,5.0,0.0,5.0,0.0,5.0,0.26825,0.365883,70.0,288.0,0.11906251733705386
20,1754174401,5.0,0.0,5.0,0.0,5.0,0.26825,0.365883,70.0,288.0,0.128793007303643
21,1754174406,5.0,0.0,5.0,0.0,5.0,0.26825,0.365883,70.0,288.0,0.13340555996602407
22,1754174411,5.0,0.0,5.0,0.0,5.0,0.26825,0.365883,70.0,288.0,0.1358079996893725
23,1754174416,5.0,0.0,5.0,0.0,5.0,0.26825,0.365883,70.0,288.0,0.13129212981277993
24,1754174421,5.0,0.0,5.0,0.0,5.0,0.26825,0.365883,70.0,288.0,0.14516876046072386
25,1754174426,5.0,0.0,5.0,0.0,5.0,0.374585,0.553047,70.0,288.0,0.15155808935867576
26,1754174431,5.0,0.0,5.0,0.0,5.0,0.374585,0.553047,70.0,288.0,0.15261872164166437
27,1754174436,5.0,0.0,5.0,0.0,5.0,0.374585,0.553047,70.0,288.0,0.1500361843890398
28,1754174441,5.0,0.0,5.0,0.0,5.0,0.374585,0.553047,70.0,288.0,0.1529600420289876
29,1754174446,5.0,0.0,5.0,0.0,5.0,0.374585,0.553047,70.0,288.0,0.15930504490022407
30,1754174451,5.0,0.0,5.0,0.0,5.0,0.374585,0.553047,70.0,288.0,0.15968033753399807
31,1754174456,5.0,0.0,5.0,0.0,5.0,0.469062,0.541482,70.0,288.0,0.15940235639139153
32,1754174461,5.0,0.0,5.0,0.0,5.0,0.469062,0.541482,70.0,288.0,0.15803893696855376
33,1754174466,5.0,0.0,5.0,0.0,5.0,0.469062,0.541482,70.0,288.0,0.16096900843011183
34,1754174471,5.0,0.0,5.0,0.0,5.0,0.469062,0.541482,70.0,288.0,0.16106192041099557
35,1754174476,5.0,0.0,5.0,0.0,5.0,0.469062,0.541482,70.0,288.0,0.15464870781717827
36,1754174481,5.0,0.0,5.0,0.0,5.0,0.469062,0.541482,70.0,288.0,0.15912628359246425
37,1754174486,5.0,0.0,5.0,0.0,5.0,0.487859,0.506674,70.0,288.0,0.15908491359896765
38,1754174491,5.0,0.0,5.0,0.0,5.0,0.487859,0.506674,70.0,288.0,0.15288243067465748
39,1754174496,5.0,0.0,5.0,0.0,5.0,0.487859,0.506674,70.0,288.0,0.15328687219169124
40,1754174501,5.0,0.0,5.0,0.0,5.0,0.487859,0.506674,70.0,288.0,0.15818024289090135
41,1754174506,5.0,0.0,5.0,0.0,5.0,0.487859,0.506674,70.0,288.0,0.14962413665570432
42,1754174511,5.0,0.0,5.0,0.0,5.0,0.487859,0.506674,70.0,288.0,0.15788176927027825
43,1754174516,5.0,0.0,5.0,0.0,5.0,0.483237,0.522895,70.0,288.0,0.15674128274679797
44,1754174521,5.0,0.0,5.0,0.0,5.0,0.483237,0.522895,70.0,288.0,0.14516795089514634
45,1754174526,5.0,0.0,5.0,0.0,5.0,0.483237,0.522895,70.0,288.0,0.14929275697307237
46,1754174531,5.0,0.0,5.0,0.0,5.0,0.483237,0.522895,70.0,288.0,0.1538462560700773
47,1754174536,5.0,0.0,5.0,0.0,5.0,0.483237,0.522895,70.0,288.0,0.1435060964048981
48,1754174541,5.0,0.0,5.0,0.0,5.0,0.483237,0.522895,70.0,288.0,0.15129841053284876
49,1754174546,5.0,0.0,5.0,0.0,5.0,0.450236,0.431817,70.0,288.0,0.15087027719641083
50,1754174551,5.0,0.0,5.0,0.0,5.0,0.450236,0.431817,70.0,288.0,0.14418880692548333
51,1754174556,5.0,0.0,5.0,0.0,5.0,0.450236,0.431817,70.0,288.0,0.1421540563035191
52,1754174561,5.0,0.0,5.0,0.0,5.0,0.450236,0.431817,70.0,288.0,0.14573701749135978
53,1754174566,5.0,0.0,5.0,0.0,5.0,0.450236,0.431817,70.0,288.0,0.13544955583060717
54,1754174571,5.0,0.0,5.0,0.0,5.0,0.450236,0.431817,70.0,288.0,0.14270950355644893
55,1754174576,5.0,0.0,5.0,0.0,5.0,0.399182,0.354229,70.0,288.0,0.1417347516698764
56,1754174581,5.0,0.0,5.0,0.0,5.0,0.399182,0.354229,70.0,288.0,0.1342718054220381
57,1754174586,5.0,0.0,5.0,0.0,5.0,0.399182,0.354229,70.0,288.0,0.13832337581563858
58,1754174591,5.0,0.0,5.0,0.0,5.0,0.399182,0.354229,70.0,288.0,0.13842235600321467
59,1754174596,5.0,0.0,5.0,0.0,5.0,0.399182,0.354229,70.0,288.0,0.13272328517540166
60,1754174601,5.0,0.0,5.0,0.0,5.0,0.399182,0.354229,70.0,288.0,0.13888772911711492
61,1754174606,5.0,0.0,5.0,0.0,5.0,0.382576,0.371879,70.0,288.0,0.13888772911711492
62,1754174611,5.0,0.0,5.0,0.0,5.0,0.382576,0.371879,70.0,288.0,0.13323890311611997
63,1754174616,5.0,0.0,5.0,0.0,5.0,0.382576,0.371879,70.0,288.0,0.13375657411629016
64,1754174621,5.0,0.0,5.0,0.0,5.0,0.382576,0.371879,70.0,288.0,0.13670144954794972
65,1754174626,5.0,0.0,5.0,0.0,5.0,0.382576,0.371879,70.0,288.0,0.1358181835794749
66,1754174631,5.0,0.0,5.0,0.0,5.0,0.382576,0.371879,70.0,288.0,0.13339420276380462
67,1754174636,5.0,0.0,5.0,0.0,5.0,0.365025,0.298486,70.0,288.0,0.12870699494409307
68,1754174641,5.0,0.0,5.0,0.0,5.0,0.365025,0.298486,70.0,288.0,0.12940985006922487
69,1754174646,5.0,0.0,5.0,0.0,5.0,0.365025,0.298486,70.0,288.0,0.12814612623039573
70,1754174651,5.0,0.0,5.0,0.0,5.0,0.365025,0.298486,70.0,288.0,0.12766030148837657
71,1754174656,5.0,0.0,5.0,0.0,5.0,0.365025,0.298486,70.0,288.0,0.12249023246286181
72,1754174661,5.0,0.0,5.0,0.0,5.0,0.365025,0.298486,70.0,288.0,0.1203512116458357
73,1754174666,5.0,0.0,5.0,0.0,5.0,0.34052,0.349299,70.0,288.0,0.12394958753147109
74,1754174671,5.0,0.0,5.0,0.0,5.0,0.34052,0.349299,70.0,288.0,0.12168718754790199
75,1754174676,5.0,0.0,5.0,0.0,5.0,0.34052,0.349299,70.0,288.0,0.12048991121465845
76,1754174681,5.0,0.0,5.0,0.0,5.0,0.34052,0.349299,70.0,288.0,0.12028566121645834
77,1754174686,5.0,0.0,5.0,0.0,5.0,0.34052,0.349299,70.0,288.0,0.12585618839934948
78,1754174691,5.0,0.0,5.0,0.0,5.0,0.34052,0.349299,70.0,288.0,0.1252941248847515
79,1754174696,5.0,0.0,5.0,0.0,5.0,0.333882,0.336513,70.0,288.0,0.12503263713702145
