,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1754174301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
1,1754174306,1.0,0.0,0.0,0.0,1.0,1.0,1.0,70.0,-212.0,
2,1754174311,1.0,0.0,0.0,0.0,1.0,1.0,1.0,70.0,-212.0,
3,1754174316,1.0,0.0,0.0,0.5076912648485473,1.0,1.0,1.0,70.0,-212.0,
4,1754174321,1.0,0.0,0.0,0.5076912648485473,1.0,1.0,1.0,70.0,-212.0,0.011323528526548367
5,1754174326,1.0,0.0,0.0,0.5076912648485473,1.0,1.0,1.0,70.0,-212.0,0.014599806461598657
6,1754174331,1.0,0.0,0.0,0.5076912648485473,1.0,1.0,1.0,70.0,-212.0,0.017876084396648947
7,1754174336,1.0,0.0,1.0,0.5076912648485473,1.0,6.291737,0.360349,70.0,-112.0,0.02923126916902063
8,1754174341,1.0,0.0,1.0,0.5076912648485473,1.0,6.291737,0.360349,70.0,-112.0,0.033780216738179526
9,1754174346,1.0,0.0,1.0,0.238517062901251,1.0,6.291737,0.360349,70.0,-112.0,0.03832916430733841
10,1754174351,1.0,0.0,1.0,0.238517062901251,1.0,6.291737,0.360349,70.0,-112.0,0.04658644449399453
11,1754174356,1.0,0.0,1.0,0.238517062901251,1.0,6.291737,0.360349,70.0,-112.0,0.05153209003250485
12,1754174361,1.0,0.0,1.0,0.238517062901251,1.0,6.291737,0.360349,70.0,-112.0,0.05647773557101518
13,1754174366,1.0,0.0,1.0,0.238517062901251,1.0,2.718658,0.296744,70.0,-112.0,0.06238775472989489
14,1754174371,1.0,0.0,1.0,0.238517062901251,1.0,2.718658,0.296744,70.0,-112.0,0.06671156196528967
15,1754174376,1.0,0.0,1.0,0.3832974569019448,1.0,2.718658,0.296744,70.0,-112.0,0.06736780850038379
16,1754174381,1.0,0.0,1.0,0.3832974569019448,1.0,2.718658,0.296744,70.0,-112.0,0.06621931494933822
17,1754174386,1.0,0.0,1.0,0.3832974569019448,1.0,2.718658,0.296744,70.0,-112.0,0.06621931494933822
18,1754174391,1.0,0.0,1.0,0.3832974569019448,1.0,2.718658,0.296744,70.0,-112.0,0.056124732212936186
19,1754174396,1.0,0.0,1.0,0.3832974569019448,1.0,0.373554,0.549698,70.0,-112.0,0.07174630448515477
20,1754174401,1.0,0.0,1.0,0.3832974569019448,1.0,0.373554,0.549698,70.0,-112.0,0.07174630448515477
21,1754174406,1.0,0.0,1.0,0.5609271485582873,1.0,0.373554,0.549698,70.0,-112.0,0.07174630448515477
22,1754174411,1.0,0.0,1.0,0.5609271485582873,1.0,0.373554,0.549698,70.0,-112.0,0.06503844602051513
23,1754174416,1.0,0.0,1.0,0.5609271485582873,1.0,0.373554,0.549698,70.0,-112.0,0.13060479231206928
24,1754174421,1.0,0.0,1.0,0.5609271485582873,1.0,0.373554,0.549698,70.0,-112.0,0.13060479231206928
25,1754174426,1.0,0.0,1.0,0.5609271485582873,1.0,1.384726,4.005178,70.0,-116.0,0.14892270319233616
26,1754174431,1.0,0.0,1.0,0.5609271485582873,1.0,1.384726,4.005178,70.0,-116.0,0.4370931143261177
27,1754174436,1.0,0.0,1.0,4.661170076151569,1.0,1.384726,4.005178,70.0,-116.0,0.5377949016142128
28,1754174441,1.0,0.0,1.0,4.661170076151569,1.0,1.384726,4.005178,70.0,-116.0,0.589810683900776
29,1754174446,1.0,0.0,1.0,4.661170076151569,1.0,1.384726,4.005178,70.0,-116.0,0.7313320857838771
30,1754174451,1.0,0.0,1.0,4.661170076151569,1.0,1.384726,4.005178,70.0,-116.0,0.7313320857838771
31,1754174456,1.0,0.0,1.0,4.661170076151569,1.0,3.20798,4.124432,70.0,-116.0,0.9091562663766275
32,1754174461,1.0,0.0,1.0,4.661170076151569,1.0,3.20798,4.124432,70.0,-116.0,0.9931238225101083
33,1754174466,1.0,0.0,1.0,3.348881121251818,1.0,3.20798,4.124432,70.0,-116.0,0.9998461469853728
34,1754174471,1.0,0.0,1.0,3.348881121251818,1.0,3.20798,4.124432,70.0,-116.0,0.9991867451588963
