,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1754171862,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,0.00038520608228492136
1,1754171867,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
2,1754171872,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
3,1754171877,5.0,0.0,4.0,,5.0,2.931678,0.22196,70.0,188.0,0.006871126935207282
4,1754171882,5.0,0.0,4.0,,5.0,2.931678,0.22196,70.0,188.0,0.02503154494813545
5,1754171887,5.0,0.0,4.0,0.0,5.0,2.931678,0.22196,70.0,188.0,0.02953322807422399
6,1754171892,5.0,0.0,4.0,0.0,5.0,2.931678,0.22196,70.0,188.0,0.03564860260564834
7,1754171897,5.0,0.0,4.0,0.0,5.0,2.931678,0.22196,70.0,188.0,0.03619203724715048
8,1754171902,5.0,0.0,4.0,0.0,5.0,2.931678,0.22196,70.0,188.0,0.04099367856654334
9,1754171907,5.0,0.0,5.0,0.0,5.0,1.03327,0.065612,70.0,288.0,0.043215296840012955
10,1754171912,5.0,0.0,5.0,0.0,5.0,1.03327,0.065612,70.0,288.0,0.04797406038152852
11,1754171917,5.0,0.0,5.0,0.0,5.0,1.03327,0.065612,70.0,288.0,0.050895810505352225
12,1754171922,5.0,0.0,5.0,0.0,5.0,1.03327,0.065612,70.0,288.0,0.052757199931987096
13,1754171927,5.0,0.0,5.0,0.0,5.0,1.03327,0.065612,70.0,288.0,0.04595195041170795
14,1754171932,5.0,0.0,5.0,0.0,5.0,1.03327,0.065612,70.0,288.0,0.045300285965612926
15,1754171937,5.0,0.0,5.0,0.0,5.0,0.071481,0.083316,70.0,288.0,0.04525412792559619
16,1754171942,5.0,0.0,5.0,0.0,5.0,0.071481,0.083316,70.0,288.0,0.0450375501210655
