index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
1759423997,0.0,0.0,0.0,,,,,,,
1759424002,0.0,0.0,0.0,,,,,,,
1759424007,3.0,0.0,0.0,,3.0,40.028195,101.379264,7.0,-313.0,
1759424012,3.0,0.0,0.0,,3.0,40.028195,101.379264,7.0,-313.0,
1759424017,3.0,0.0,0.0,1.3160994042619154,3.0,40.028195,101.379264,7.0,-313.0,0.008081757476294674
1759424022,3.0,0.0,0.0,1.3160994042619154,3.0,40.028195,101.379264,7.0,-313.0,0.021057238122933863
1759424027,3.0,0.0,0.0,1.3160994042619154,3.0,40.028195,101.379264,7.0,-313.0,0.0890879824943188
1759424032,3.0,0.0,0.0,1.3160994042619154,3.0,40.028195,101.379264,7.0,-313.0,0.10383177061585926
1759424037,3.0,0.0,3.0,1.3160994042619154,3.0,9.843849,14.588449,7.0,-196.0,0.1606712312324697
1759424042,3.0,0.0,3.0,1.3160994042619154,3.0,9.843849,14.588449,7.0,-196.0,0.15682248099193669
1759424047,3.0,0.0,3.0,32.01666931540037,3.0,9.843849,14.588449,7.0,-196.0,0.19943062228478003
1759424052,3.0,0.0,3.0,32.01666931540037,3.0,9.843849,14.588449,7.0,-196.0,0.22986094379755131
1759424057,3.0,0.0,3.0,32.01666931540037,3.0,9.843849,14.588449,7.0,-196.0,0.22557874471166917
1759424057,3.0,0.0,3.0,32.01666931540037,3.0,9.843849,14.588449,7.0,-196.0,0.23087414912470466
1759424062,3.0,0.0,3.0,32.01666931540037,3.0,9.843849,14.588449,7.0,-196.0,0.23326578573105203
1759424067,3.0,0.0,3.0,32.01666931540037,1.0,-1e-06,0.0,7.0,-181.0,0.2135263352121129
1759424072,3.0,0.0,3.0,32.01666931540037,1.0,-1e-06,0.0,7.0,-181.0,0.23339122199344653
