index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
1759423997,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,
1759424002,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,
1759424007,3.0,0.0,0.0,,3.0,40.028195,101.379264,7.0,-313.0,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,3.0,0.0,3.0,,6.0,189.156611,351.278859,7.0,-533.0,
1759424012,3.0,0.0,0.0,,3.0,40.028195,101.379264,7.0,-313.0,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,3.0,0.0,3.0,,6.0,189.156611,351.278859,7.0,-533.0,
1759424017,3.0,0.0,0.0,1.3160994042619154,3.0,40.028195,101.379264,7.0,-313.0,0.008081757476294674,0.0,0.0,0.0,530.297471574133,,,,,,,0.0,0.0,0.0,64.13512503642964,,,,,,,0.0,0.0,0.0,10.079522353134154,,,,,,,3.0,0.0,3.0,324.68232245969244,6.0,189.156611,351.278859,7.0,-533.0,0.051203387199629594
1759424022,3.0,0.0,0.0,1.3160994042619154,3.0,40.028195,101.379264,7.0,-313.0,0.021057238122933863,0.0,0.0,0.0,530.297471574133,,,,,,,0.0,0.0,0.0,64.13512503642964,,,,,,0.027987535885885883,0.0,0.0,0.0,10.079522353134154,,,,,,,3.0,0.0,3.0,324.68232245969244,6.0,189.156611,351.278859,7.0,-533.0,0.06807003996539165
1759424027,3.0,0.0,0.0,1.3160994042619154,3.0,40.028195,101.379264,7.0,-313.0,0.0890879824943188,0.0,0.0,0.0,530.297471574133,,,,,,0.007400477453627799,0.0,0.0,0.0,64.13512503642964,,,,,,0.068265113677484,0.0,0.0,0.0,10.079522353134154,,,,,,0.051809929548008664,3.0,0.0,3.0,324.68232245969244,6.0,189.156611,351.278859,7.0,-533.0,0.0672852218232331
1759424032,3.0,0.0,0.0,1.3160994042619154,3.0,40.028195,101.379264,7.0,-313.0,0.10383177061585926,0.0,0.0,0.0,530.297471574133,,,,,,0.0238758421030787,0.0,0.0,0.0,64.13512503642964,,,,,,0.08561183043776913,0.0,0.0,0.0,10.079522353134154,,,,,,0.1856096505220487,3.0,0.0,3.0,324.68232245969244,6.0,189.156611,351.278859,7.0,-533.0,0.11036962075254099
1759424037,3.0,0.0,3.0,1.3160994042619154,3.0,9.843849,14.588449,7.0,-196.0,0.1606712312324697,3.0,0.0,3.0,530.297471574133,3.0,2.254334,1.332046,7.0,-183.0,0.03488318825209846,3.0,0.0,0.0,64.13512503642964,6.0,1409.292397,1134.02976,7.0,-1346.0,0.10002784294168049,3.0,0.0,3.0,10.079522353134154,3.0,2.825257,2.089454,7.0,-184.0,0.20388704240371625,3.0,0.0,3.0,324.68232245969244,6.0,1662.513285,1020.003561,7.0,-1202.0,0.22431892549435947
1759424042,3.0,0.0,3.0,1.3160994042619154,3.0,9.843849,14.588449,7.0,-196.0,0.15682248099193669,3.0,0.0,3.0,530.297471574133,3.0,2.254334,1.332046,7.0,-183.0,0.044840888270447646,3.0,0.0,0.0,64.13512503642964,6.0,1409.292397,1134.02976,7.0,-1346.0,0.15451153326440797,3.0,0.0,3.0,10.079522353134154,3.0,2.825257,2.089454,7.0,-184.0,0.24084092192689657,3.0,0.0,3.0,324.68232245969244,6.0,1662.513285,1020.003561,7.0,-1202.0,0.26944860876434185
1759424047,3.0,0.0,3.0,32.01666931540037,3.0,9.843849,14.588449,7.0,-196.0,0.19943062228478003,3.0,0.0,3.0,0.0,3.0,2.254334,1.332046,7.0,-183.0,0.04335792451420705,3.0,0.0,0.0,750.0664267875666,6.0,1409.292397,1134.02976,7.0,-1346.0,0.17690331904733436,3.0,0.0,3.0,0.0,3.0,2.825257,2.089454,7.0,-184.0,0.2435644416605114,3.0,0.0,3.0,837.6239020107876,6.0,1662.513285,1020.003561,7.0,-1202.0,0.30314304322037144
1759424052,3.0,0.0,3.0,32.01666931540037,3.0,9.843849,14.588449,7.0,-196.0,0.22986094379755131,3.0,0.0,3.0,0.0,3.0,2.254334,1.332046,7.0,-183.0,0.04960195327487192,3.0,0.0,0.0,750.0664267875666,6.0,1409.292397,1134.02976,7.0,-1346.0,0.17553579407931313,3.0,0.0,3.0,0.0,3.0,2.825257,2.089454,7.0,-184.0,0.2408061376123097,3.0,0.0,3.0,837.6239020107876,6.0,1662.513285,1020.003561,7.0,-1202.0,0.352843362701938
1759424057,3.0,0.0,3.0,32.01666931540037,3.0,9.843849,14.588449,7.0,-196.0,0.22557874471166917,3.0,0.0,3.0,0.0,3.0,2.254334,1.332046,7.0,-183.0,0.050024170129065855,3.0,0.0,0.0,750.0664267875666,6.0,1409.292397,1134.02976,7.0,-1346.0,0.19056152069960405,3.0,0.0,3.0,0.0,3.0,2.825257,2.089454,7.0,-184.0,0.24865983961313903,3.0,0.0,3.0,837.6239020107876,6.0,1662.513285,1020.003561,7.0,-1202.0,0.35941646670923955
1759424057,3.0,0.0,3.0,32.01666931540037,3.0,9.843849,14.588449,7.0,-196.0,0.23087414912470466,3.0,0.0,3.0,0.0,3.0,2.254334,1.332046,7.0,-183.0,0.050024170129065855,3.0,0.0,0.0,750.0664267875666,6.0,1409.292397,1134.02976,7.0,-1346.0,,3.0,0.0,3.0,0.0,3.0,2.825257,2.089454,7.0,-184.0,0.24957384875974742,3.0,0.0,3.0,837.6239020107876,6.0,1662.513285,1020.003561,7.0,-1202.0,0.35941646670923955
1759424062,3.0,0.0,3.0,32.01666931540037,3.0,9.843849,14.588449,7.0,-196.0,0.23326578573105203,3.0,0.0,3.0,0.0,3.0,2.254334,1.332046,7.0,-183.0,0.04261564455486352,3.0,0.0,0.0,750.0664267875666,6.0,1409.292397,1134.02976,7.0,-1346.0,,3.0,0.0,3.0,0.0,3.0,2.825257,2.089454,7.0,-184.0,0.27680329367294976,3.0,0.0,3.0,837.6239020107876,6.0,1662.513285,1020.003561,7.0,-1202.0,0.40106039396015114
1759424067,3.0,0.0,3.0,32.01666931540037,1.0,-1e-06,0.0,7.0,-181.0,0.2135263352121129,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,-201.0,0.04688029369611241,3.0,0.0,0.0,750.0664267875666,0.0,0.0,0.0,7.0,-201.0,,0.0,2.0,1.0,0.0,0.0,-1e-06,0.0,7.0,-201.0,0.23704786445607162,3.0,0.0,3.0,837.6239020107876,1.0,0.0,0.0,7.0,-181.0,0.40214911465071335
1759424072,3.0,0.0,3.0,32.01666931540037,1.0,-1e-06,0.0,7.0,-181.0,0.23339122199344653,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,-201.0,0.04850706468965681,3.0,0.0,0.0,750.0664267875666,0.0,0.0,0.0,7.0,-201.0,0.0013938630802910307,0.0,2.0,1.0,0.0,0.0,-1e-06,0.0,7.0,-201.0,0.13814945115297625,3.0,0.0,3.0,837.6239020107876,1.0,0.0,0.0,7.0,-181.0,0.3546805484386501
1759424077,3.0,0.0,3.0,,1.0,-1e-06,0.0,7.0,-181.0,0.17111871950264962,0.0,2.0,1.0,,0.0,0.0,0.0,7.0,-201.0,0.019440935726648054,3.0,0.0,0.0,,0.0,0.0,0.0,7.0,-201.0,0.0030958277444153174,0.0,2.0,1.0,,0.0,-1e-06,0.0,7.0,-201.0,0.07878444892216846,3.0,0.0,3.0,,1.0,0.0,0.0,7.0,-181.0,0.22963198056978645
1759424082,3.0,0.0,3.0,,1.0,-1e-06,0.0,7.0,-181.0,0.11976297288410107,0.0,2.0,1.0,,0.0,0.0,0.0,7.0,-201.0,0.019440935726648054,3.0,0.0,0.0,,0.0,0.0,0.0,7.0,-201.0,0.00335092539572341,0.0,2.0,1.0,,0.0,-1e-06,0.0,7.0,-201.0,0.07878444892216846,3.0,0.0,3.0,,1.0,0.0,0.0,7.0,-181.0,0.21377921660096363
1759424087,3.0,0.0,3.0,,1.0,-1e-06,0.0,7.0,-181.0,0.07829996405504418,0.0,2.0,1.0,,0.0,0.0,0.0,7.0,-201.0,0.01190569877387706,3.0,0.0,0.0,,0.0,0.0,0.0,7.0,-201.0,0.0044286161697321665,0.0,2.0,1.0,,0.0,-1e-06,0.0,7.0,-201.0,0.05511326445795953,3.0,0.0,3.0,,1.0,0.0,0.0,7.0,-181.0,0.18269892766794485
1759424092,3.0,0.0,3.0,,1.0,-1e-06,0.0,7.0,-181.0,0.07829996405504418,0.0,2.0,1.0,,0.0,0.0,0.0,7.0,-201.0,0.005079201462034365,3.0,0.0,0.0,,0.0,0.0,0.0,7.0,-201.0,0.004408191263284763,0.0,2.0,1.0,,0.0,-1e-06,0.0,7.0,-201.0,0.011149003528051225,3.0,0.0,3.0,,1.0,0.0,0.0,7.0,-181.0,0.1314826582000208
