index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
1759618765,3.0,0.0,3.0,3.0,3.420055,0.0,7.0,-181.0,0.25632725110188226,3.0,0.0,3.0,3.0,12.860661,0.0,7.0,-181.0,0.27361721512742,3.0,2.0,1.0,4.0,341.634072,0.0,7.0,-191.0,0.22421225072609402,3.0,0.0,3.0,3.0,4.134446,0.0,7.0,-181.0,0.15826177401054883,3.0,2.0,3.0,3.0,2.375896,0.0,7.0,-181.0,0.14802009479207523,3.0,0.0,3.0,6.0,911.640953,0.0,7.0,-181.0,0.4866180803298715
1759618770,3.0,0.0,3.0,3.0,0.824718,0.0,7.0,-181.0,0.25100902332634634,3.0,0.0,3.0,3.0,3.13557,0.0,7.0,-181.0,0.27769171354135913,3.0,2.0,0.0,3.0,279.713709,0.0,7.0,-201.0,0.24574098214045006,3.0,0.0,3.0,3.0,0.879674,0.0,7.0,-181.0,0.16510204204817447,3.0,0.0,3.0,3.0,1.86738,0.0,7.0,-181.0,0.16738286716908088,3.0,0.0,3.0,6.0,1273.510078,0.0,7.0,-181.0,0.4648861884214788
1759618775,3.0,0.0,3.0,3.0,0.824718,0.0,7.0,-181.0,0.25100902332634634,3.0,0.0,3.0,3.0,3.13557,0.0,7.0,-181.0,0.2652021127382641,3.0,2.0,0.0,3.0,279.713709,0.0,7.0,-201.0,0.24008695273412387,3.0,0.0,3.0,3.0,0.879674,0.0,7.0,-181.0,0.16494441531206872,3.0,0.0,3.0,3.0,1.86738,0.0,7.0,-181.0,0.18371606807700294,3.0,0.0,3.0,6.0,1273.510078,0.0,7.0,-181.0,0.47082428703439017
1759618780,3.0,0.0,3.0,3.0,0.824718,0.0,7.0,-181.0,0.22897631506293997,3.0,0.0,3.0,3.0,3.13557,0.0,7.0,-181.0,0.28702134322748646,3.0,2.0,0.0,3.0,279.713709,0.0,7.0,-201.0,0.20982323518002885,3.0,0.0,3.0,3.0,0.879674,0.0,7.0,-181.0,0.1649241243750721,3.0,0.0,3.0,3.0,1.86738,0.0,7.0,-181.0,0.19660512480013725,3.0,0.0,3.0,6.0,1273.510078,0.0,7.0,-181.0,0.47186830548165287
1759618785,3.0,0.0,3.0,3.0,0.824718,0.0,7.0,-181.0,0.2640447848931879,3.0,0.0,3.0,3.0,3.13557,0.0,7.0,-181.0,0.27198890273265725,3.0,2.0,0.0,3.0,279.713709,0.0,7.0,-201.0,0.22592338992811659,3.0,0.0,3.0,3.0,0.879674,0.0,7.0,-181.0,0.16476063862139376,3.0,0.0,3.0,3.0,1.86738,0.0,7.0,-181.0,0.18484187950774106,3.0,0.0,3.0,6.0,1273.510078,0.0,7.0,-181.0,0.4819131043195096
1759618790,3.0,0.0,3.0,3.0,0.824718,0.0,7.0,-181.0,0.2640447848931879,3.0,0.0,3.0,3.0,3.13557,0.0,7.0,-181.0,0.2835472186049452,3.0,2.0,0.0,3.0,279.713709,0.0,7.0,-201.0,0.1772702257358128,3.0,0.0,3.0,3.0,0.879674,0.0,7.0,-181.0,0.16613899972007007,3.0,0.0,3.0,3.0,1.86738,0.0,7.0,-181.0,0.19772039047610412,3.0,0.0,3.0,6.0,1273.510078,0.0,7.0,-181.0,0.4809919159084012
1759618795,3.0,0.0,3.0,3.0,0.824718,0.0,7.0,-181.0,0.2459383049262403,3.0,0.0,3.0,3.0,3.13557,0.0,7.0,-181.0,0.26217542628530394,3.0,2.0,0.0,3.0,279.713709,0.0,7.0,-201.0,0.15896310540289704,3.0,0.0,3.0,3.0,0.879674,0.0,7.0,-181.0,0.16836618446557372,3.0,0.0,3.0,3.0,1.86738,0.0,7.0,-181.0,0.18817486399380406,3.0,0.0,3.0,6.0,1273.510078,0.0,7.0,-181.0,0.4505954933053506
1759618800,3.0,0.0,3.0,3.0,3.863848,0.0,7.0,-181.0,0.2286970320760837,3.0,0.0,3.0,4.0,27.50419,0.0,7.0,-181.0,0.2723679147442327,3.0,2.0,0.0,0.0,0.0,0.0,7.0,-211.0,0.25027478613727766,3.0,0.0,3.0,3.0,2.689258,0.0,7.0,-181.0,0.15821198536717812,3.0,0.0,3.0,3.0,0.138048,0.0,7.0,-181.0,0.18578202063332194,3.0,0.0,3.0,15.0,374.423103,0.0,7.0,-181.0,0.47298634258759814
1759618805,3.0,0.0,3.0,3.0,3.863848,0.0,7.0,-181.0,0.24966988955340275,3.0,0.0,3.0,4.0,27.50419,0.0,7.0,-181.0,0.2622386346057076,3.0,2.0,0.0,0.0,0.0,0.0,7.0,-211.0,0.22851867722143232,3.0,0.0,3.0,3.0,2.689258,0.0,7.0,-181.0,0.16969711717315553,3.0,0.0,3.0,3.0,0.138048,0.0,7.0,-181.0,0.16490682939731674,3.0,0.0,3.0,15.0,374.423103,0.0,7.0,-181.0,0.4689518158873818
1759618810,3.0,0.0,3.0,3.0,3.863848,0.0,7.0,-181.0,0.2584489741809492,3.0,0.0,3.0,4.0,27.50419,0.0,7.0,-181.0,0.27074654779566604,3.0,2.0,0.0,0.0,0.0,0.0,7.0,-211.0,0.238746168347325,3.0,0.0,3.0,3.0,2.689258,0.0,7.0,-181.0,0.168208717393318,3.0,0.0,3.0,3.0,0.138048,0.0,7.0,-181.0,0.14847786375743188,3.0,0.0,3.0,15.0,374.423103,0.0,7.0,-181.0,0.4604530148653535
