Anomaly_Source_ID,Adaptation_ID
4:03d53530:0,4:03d53530:7
4:03d53530:0,4:03d53530:8
4:03d53530:0,4:03d53530:9
4:03d53530:0,4:03d53530:21
4:03d53530:1,4:03d53530:7
4:03d53530:1,4:03d53530:15
4:03d53530:1,4:03d53530:16
4:03d53530:1,4:03d53530:21
4:03d53530:2,4:03d53530:10
4:03d53530:2,4:03d53530:70
4:03d53530:2,4:03d53530:68
4:03d53530:3,4:03d53530:19
4:03d53530:3,4:03d53530:18
4:03d53530:3,4:03d53530:9
4:03d53530:3,4:03d53530:21
4:03d53530:4,4:03d53530:19
4:03d53530:4,4:03d53530:18
4:03d53530:4,4:03d53530:10
4:03d53530:5,4:03d53530:70
4:03d53530:5,4:03d53530:14
4:03d53530:5,4:03d53530:68
4:03d53530:6,4:03d53530:70
4:03d53530:6,4:03d53530:10
4:03d53530:6,4:03d53530:68
